sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
17,Bollineni College Of Nursing,"Bollineni College Of Nursing , Dhanalakshmipuram, Muthukur Road, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524003",Bollineni Krishnaiah Charitable Trust,Nellore,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
17,Bollineni College Of Nursing,"Bollineni College Of Nursing , Dhanalakshmipuram, Muthukur Road, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524003",Bollineni Krishnaiah Charitable Trust,Nellore,Andhra Pradesh,Private,M. Sc (N),25 (Twenty Five) 5 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
17,Bollineni College Of Nursing,"Bollineni College Of Nursing , Dhanalakshmipuram, Muthukur Road, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524003",Bollineni Krishnaiah Charitable Trust,Nellore,Andhra Pradesh,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
18,C S I School Of Nursing,"C S I School Of Nursing, C.S.I. Campbell Hospital, Jammalamadugu, Distt.- Ysr, Andhra Pradesh, Pin Code- 516434",Church Of South India Trust Association,Ysr,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
19,Care Waltair College Of Nursing,"Care Waltair College Of Nursing,, A S Raja Complex, Waltair Main Road, Visakhapatnam, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530002",Care Educational Society,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
20,Chaitanya College Of B.Sc Nursing,"Chaitanya College Of B.Sc Nursing , Ramnagar 1St Line, Ongole,Prakasam, Ongole, Distt.- Prakasam, Andhra Pradesh, Pin Code- 523001",Chaitanya Educational Society,Prakasam,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
20,Chaitanya College Of B.Sc Nursing,"Chaitanya College Of B.Sc Nursing , Ramnagar 1St Line, Ongole,Prakasam, Ongole, Distt.- Prakasam, Andhra Pradesh, Pin Code- 523001",Chaitanya Educational Society,Prakasam,Andhra Pradesh,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
21,Christian Medical Centre,"Christian Medical Centre, School Of Nursing, D.No: 1-3-22B, Agraharam, Vill.- Pithapuram, Tehsil- Pithapuram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533450",Council Of Christian Hospitals,East Godavari,Andhra Pradesh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
1,College Of Life Sciences Nursing,"College Of Life Sciences Nursing, Krishi Hospital Campus, Sheelanagar, Visakhapatnam, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530012",Gadhadar Educa Trust,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
2,College Of Nursing,"College Of Nursing, C M C Vellore, Chittoor Campus, 189, Kothapalli Post, 190 Rama Puram(V), Gudipala, Chittoor, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517132",Christian Medical College Vellore Association,Chittoor,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
