sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,sector,programme,annual_intake,state,academic_year,page_number,extraction_timestamp,source_url
1,Impact Paramedical & Health Institute College Of Nursing,"Impact Paramedical & Health Institute College Of Nursing, G-99/1 Laxmi Park, Nangloi,New Delhi, New Delhi, Distt.- West Delhi, Delhi, Pin Code- 110041",Impact Paramedical And Health Institute,West Delhi,Private,GNM,60 (Sixty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Indraprastha Apollo Hospital,"Indraprastha Apollo Hospital, Indraprastha Apollo Hospital Sarita Vihar Mathura Road , Newdelhi, Distt.- South East Delhi, Delhi, Pin Code- 110076",Indraprastha Medical Corporation Limited,South East Delhi,Private,GNM,50 (Fifty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,Institute Of Human Behaviour And Allied Sciences,"Institute Of Human Behaviour And Allied Sciences, Tahirpur Road, Dilshad Garden, New Delhi, New Delhi, Distt.- Shahdara, Delhi, Pin Code- 110095",Government Of Delhi,Shahdara,Government,M. Sc (N),08 (Eight),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,Institute Of Human Behaviour And Allied Sciences,"Institute Of Human Behaviour And Allied Sciences, Tahirpur Road, Dilshad Garden, New Delhi, New Delhi, Distt.- Shahdara, Delhi, Pin Code- 110095",Government Of Delhi,Shahdara,Government,Post Basic Diploma in Psychiatric nsg.,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,Institute Of Paramedical Sciences & Research,"Institute Of Paramedical Sciences & Research, 192,Asola,Fatehpur Beri,Delhi, Delhi, Distt.- South Delhi, Delhi, Pin Code- 110074",Paramedical Education Association & Social Service Society,South Delhi,Private,ANM,50 (Fifty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,Institute Of Paramedical Sciences & Research,"Institute Of Paramedical Sciences & Research, 192,Asola,Fatehpur Beri,Delhi, Delhi, Distt.- South Delhi, Delhi, Pin Code- 110074",Paramedical Education Association & Social Service Society,South Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
5,Lakshmi Bai Batra College Of Nursing,"Lakshmi Bai Batra College Of Nursing, 45,46,47, Tughlakabad Institutional Area, , Distt.- South Delhi, Delhi, Pin Code- 110062",Ch. Aishi Ram Batra Public Charitable Trust,South Delhi,Private,B.Sc(N),60 (Sixty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,Mata Risalo Devi Institute Of Nursing,"Mata Risalo Devi Institute Of Nursing, Shiv Mandir Colony, Near Police Check Post,, Narela, Distt.- North Delhi, Delhi, Pin Code- 110040",Mata Risalo Devi Charitable Trust,North Delhi,Private,ANM,30 (Thirty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,Mata Risalo Devi Institute Of Nursing,"Mata Risalo Devi Institute Of Nursing, Shiv Mandir Colony, Near Police Check Post,, Narela, Distt.- North Delhi, Delhi, Pin Code- 110040",Mata Risalo Devi Charitable Trust,North Delhi,Private,GNM,30 (Thirty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
7,Max Super Speciality Hospital Saket,"Max Super Speciality Hospital Saket, 1, Press Enclave Road, Saket Institutional Area, , Distt.- South Delhi, Delhi, Pin Code- 110017",Max Health Care Institute Limited,South Delhi,Private,NURSE PRACTITIONER IN CRITICAL CARE(NPCC),20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
8,Panna Dai College Of Nursing,"Panna Dai College Of Nursing, Deen Dayal Upadhyay Hospital, Hari Nagar, New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110064",Govt. Of Nct Delhi,South West Delhi,Government,Upgraded College of Nursing,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
9,Rajkumari Amrit Kaur College Of Nursing,"Rajkumari Amrit Kaur College Of Nursing, Lajpat Nagar-Iv, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110024",Government Of Delhi,South East Delhi,Government,B.Sc(N),45 (Forty Five),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
9,Rajkumari Amrit Kaur College Of Nursing,"Rajkumari Amrit Kaur College Of Nursing, Lajpat Nagar-Iv, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110024",Government Of Delhi,South East Delhi,Government,M. Sc (N),16 (Sixteen),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
10,Rajmata Vijayaraje Scindia Nursing School,"Rajmata Vijayaraje Scindia Nursing School, Swami Dayanand Hospital, Dilshad Gradeneast Delhi Municipal Corporation, , Distt.- East Delhi, Delhi, Pin Code- 110095",Government Of Delhi,East Delhi,Government,GNM,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
11,Rufaida School Of Nursing,"Rufaida School Of Nursing, Hamdard Nagar, New Delhi, Distt.- South Delhi, Delhi, Pin Code- 110062",Charitable Trust,South Delhi,Private,GNM,70 (Seventy),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
11,Rufaida School Of Nursing,"Rufaida School Of Nursing, Hamdard Nagar, New Delhi, Distt.- South Delhi, Delhi, Pin Code- 110062",Charitable Trust,South Delhi,Private,B.Sc(N),60 (Sixty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
11,Rufaida School Of Nursing,"Rufaida School Of Nursing, Hamdard Nagar, New Delhi, Distt.- South Delhi, Delhi, Pin Code- 110062",Charitable Trust,South Delhi,Private,M. Sc (N),"25 (Twenty Five) Med-Surg-6, Obg-6, Psy-6, Chn-5, Paed-2",Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
11,Rufaida School Of Nursing,"Rufaida School Of Nursing, Hamdard Nagar, New Delhi, Distt.- South Delhi, Delhi, Pin Code- 110062",Charitable Trust,South Delhi,Private,P B B.Sc(N),30 (Thirty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
12,Rural Health Training Centre,"Rural Health Training Centre,, , New Delhi , Distt.- South West Delhi, Delhi, Pin Code- 110043",Govt. Of Delhi,South West Delhi,Government,ANM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
13,Salokaya College Of Nursing,"Salokaya College Of Nursing, Plot No 1147, Salokaya Building Near Rithala Metro Station Car Parking Rithala, Rohini, New Delhi, Distt.- North West Delhi, Delhi, Pin Code- 110085",Ascent Educational Foundation,North West Delhi,Private,ANM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
13,Salokaya College Of Nursing,"Salokaya College Of Nursing, Plot No 1147, Salokaya Building Near Rithala Metro Station Car Parking Rithala, Rohini, New Delhi, Distt.- North West Delhi, Delhi, Pin Code- 110085",Ascent Educational Foundation,North West Delhi,Private,GNM,60 (Sixty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
14,Sant Parmanand Hospital,"Sant Parmanand Hospital, Khasra No.783,Mandir Wali Gali, Opp. Canara Bank, Sant Nagar, Burari, Distt.- North Delhi, Delhi, Pin Code- 110084",Sant Parmanand Blind Relief Mission,North Delhi,Private,GNM,50 (Fifty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
15,Saviour College Of Nursing,"Saviour College Of Nursing, Najaphgarh Nagloiroad Ranhola Near Rathi Hospital New Delhi, New Delhi, Distt.- West Delhi, Delhi, Pin Code- 110041",Rathi Charitable And Educational Trust,West Delhi,Private,ANM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
15,Saviour College Of Nursing,"Saviour College Of Nursing, Najaphgarh Nagloiroad Ranhola Near Rathi Hospital New Delhi, New Delhi, Distt.- West Delhi, Delhi, Pin Code- 110041",Rathi Charitable And Educational Trust,West Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,B.Sc(N),50 (Fifty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Cardio Thoracic Nursing,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Critical care nursing,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Oncology Nursing,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Ortho and Rehabilitation Nsg,20 (Twenty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
1,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Neonatal nursing,20 (Twenty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
1,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Nurse Practitioner in Midwifery,20 (Twenty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
