sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
18,Eashwari Bai Memorial College Of Nursing,"Eashwari Bai Memorial College Of Nursing, H. No. 10-1-5/C, Road No-4,West Marredpally, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500026",Smt J Eashwari Bai Memorial Trust,Hyderabad,Telangana,Private,M. Sc (N),20 (Twenty) Med-Sug5 Chn-5 Paed-5obg-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
19,Father Colombo College Of Nursing,"Father Colombo College Of Nursing, # 24-7-27, Sy.No.346, Fathimanagar, Kazipet, Kazipet, Distt.- Warangal Urban, Telangana, Pin Code- 506004",Medicare Educational Trust,Warangal Urban,Telangana,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
20,Fernandez School Of Nursing,"Fernandez School Of Nursing, M.No. 8-2-740/17/10 8-2-740/17/11/2, Bhola Nagar, Road No.12 Banjarahills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500034",Fernandez Foundation,Hyderabad,Telangana,Private,Post Basic Diploma in Neonatal nursing,10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
20,Fernandez School Of Nursing,"Fernandez School Of Nursing, M.No. 8-2-740/17/10 8-2-740/17/11/2, Bhola Nagar, Road No.12 Banjarahills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500034",Fernandez Foundation,Hyderabad,Telangana,Private,Nurse Practitioner in Midwifery,10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
1,Global Kasturba College Of Nursing,"Global Kasturba College Of Nursing, Plot No 651, 9Th Phase Kphb Colony, Venkataramana Colony, Hyderabad, Distt.- Ranga Reddy, Telangana, Pin Code- 500085",Gift Health Foundation,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
2,Global School Of Nursing,"Global School Of Nursing, Plot No 649, Beside Emerald Techno School,Near 9Th Phase, Hafeezpet, Serilingampally, Hyderabad , Distt.- Ranga Reddy, Telangana, Pin Code- 500085",Dr Ravindranath Medical Foundation,Ranga Reddy,Telangana,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
3,Government College Of Nursing,"Government College Of Nursing, Mancherial, Director Of Medical Education, Hyderabad, Telangana, Mancherial, Distt.- Mancherial, Telangana, Pin Code- 504208",Telangana,Mancherial,Telangana,Government,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
4,Government College Of Nursing Mahabubnagr,"Government College Of Nursing Mahabubnagr, Government College Of Nursing Mch Building 1St Floor Ggh Premises Mahabubnagar , Mahabubnagar , Distt.- Mahabubnagar, Telangana, Pin Code- 509001",Telangana,Mahabubnagar,Telangana,Government,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
5,Government College Of Nursing Banswada,"Government College Of Nursing Banswada, Mch Building, Area Hospital, Banswada, Distt.- Kamareddy, Telangana, Pin Code- 503187",Telangana,Kamareddy,Telangana,Government,B.Sc(N),100 (Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
6,Government College Of Nursing- Siddipet,"Government College Of Nursing- Siddipet, 1St Floor, Old Mch Building, Near Buruzu, Siddipet, Distt.- Siddipet, Telangana, Pin Code- 502103",Telangana,Siddipet,Telangana,Government,B.Sc(N),100 (Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
