sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
9,Anm Training School,"Anm Training School, Sdh, Jhanjharpur, Anm Training School, Sdh, Jhanjharpur, Madhubani, Jhanjharpur, Distt.- Madhubani, Bihar, Pin Code- 847404",Anm Training School,Madhubani,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
10,Anm Tranningf School Sub Divisional Hospital Sonpur Saran Bihar,"Anm Tranningf School Sub Divisional Hospital Sonpur Saran Bihar, Anm Trainnig School Sdh Sonpur, Sonpur, Distt.- Saran, Bihar, Pin Code- 841101",Bihar Govt.,Saran,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
11,B.Sc. Nursing College Dmch,"B.Sc. Nursing College Dmch, Laheriasarai , Darbhanga, Darbhanga, Distt.- Darbhanga, Bihar, Pin Code- 846003",Government Of Bihar,Darbhanga,Bihar,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
12,Buddha Institute Of Health Educational Anm Training School,"Buddha Institute Of Health Educational Anm Training School, Singra Asthan, Police Line, Gaya, Distt.- Gaya, Bihar, Pin Code- 823001",Buddha Institute Of Health Education Society,Gaya,Bihar,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
13,College Of Nursing Kurji Holy Family Hospital,"College Of Nursing Kurji Holy Family Hospital, P.O.- Sadquat Ashram, Patna , Distt.- Patna, Bihar, Pin Code- 800010",Kurji Holy Family Hospital Society,Patna,Bihar,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
14,Daksh B Sc Nursing College Daksh School Of Nursing And Hospital,"Daksh B Sc Nursing College Daksh School Of Nursing And Hospital, Daksh Nagar Dhebar, Siwan, Distt.- Siwan, Bihar, Pin Code- 841233",Mahatma Budh Educational And Research Centre,Siwan,Bihar,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
14,Daksh B Sc Nursing College Daksh School Of Nursing And Hospital,"Daksh B Sc Nursing College Daksh School Of Nursing And Hospital, Daksh Nagar Dhebar, Siwan, Distt.- Siwan, Bihar, Pin Code- 841233",Mahatma Budh Educational And Research Centre,Siwan,Bihar,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
14,Daksh B Sc Nursing College Daksh School Of Nursing And Hospital,"Daksh B Sc Nursing College Daksh School Of Nursing And Hospital, Daksh Nagar Dhebar, Siwan, Distt.- Siwan, Bihar, Pin Code- 841233",Mahatma Budh Educational And Research Centre,Siwan,Bihar,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
15,Dev Valley Global School Of Nursing,"Dev Valley Global School Of Nursing, Erka Colony, Amba, Kutumba, Aurangabad, Bihar, Aurangabad, Distt.- Aurangabad, Bihar, Pin Code- 824111",Maa Kalawati Development Foundation,Aurangabad,Bihar,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
16,Gems School Of Nusing,"Gems School Of Nusing, Sikaria Village, Indrapuri Post, Dehri On Sone, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821308",Gospel Echoing Missionary Society,Rohtas(Sasaram),Bihar,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
17,Himalaya College Of Nursing,"Himalaya College Of Nursing , Chiksi,Sh-69,Paliganj,Patna, Patna , Distt.- Patna, Bihar, Pin Code- 801110",Himalaya Educational Trust,Patna,Bihar,Private,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
17,Himalaya College Of Nursing,"Himalaya College Of Nursing , Chiksi,Sh-69,Paliganj,Patna, Patna , Distt.- Patna, Bihar, Pin Code- 801110",Himalaya Educational Trust,Patna,Bihar,Private,GNM,100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
17,Himalaya College Of Nursing,"Himalaya College Of Nursing , Chiksi,Sh-69,Paliganj,Patna, Patna , Distt.- Patna, Bihar, Pin Code- 801110",Himalaya Educational Trust,Patna,Bihar,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
17,Himalaya College Of Nursing,"Himalaya College Of Nursing , Chiksi,Sh-69,Paliganj,Patna, Patna , Distt.- Patna, Bihar, Pin Code- 801110",Himalaya Educational Trust,Patna,Bihar,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
18,Indira Gandhi Institute Of Medical Sciences,"Indira Gandhi Institute Of Medical Sciences, School Of Nursing, Sheikhpura, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Indira Gandhi Institute Of Medical Sciences,Patna,Bihar,Government,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
18,Indira Gandhi Institute Of Medical Sciences,"Indira Gandhi Institute Of Medical Sciences, School Of Nursing, Sheikhpura, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Indira Gandhi Institute Of Medical Sciences,Patna,Bihar,Government,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
18,Indira Gandhi Institute Of Medical Sciences,"Indira Gandhi Institute Of Medical Sciences, School Of Nursing, Sheikhpura, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Indira Gandhi Institute Of Medical Sciences,Patna,Bihar,Government,M. Sc (N),10 (Ten) Paed-05 Obg-05,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
18,Indira Gandhi Institute Of Medical Sciences,"Indira Gandhi Institute Of Medical Sciences, School Of Nursing, Sheikhpura, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Indira Gandhi Institute Of Medical Sciences,Patna,Bihar,Government,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
1,Khwaja Garib Nawaz School Of Nursing,"Khwaja Garib Nawaz School Of Nursing, Saidnagar, Inside Of Vishwakarma Mandir, Laheriasarai, Darbhanga , Distt.- Darbhanga, Bihar, Pin Code- 846001",Khwaja Garib Nawaz Educational Welfare Society,Darbhanga,Bihar,Private,ANM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
2,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,ANM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
2,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
2,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
2,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,M. Sc (N),25 (Twenty Five) 05 In Each Subject,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
2,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,P B B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
3,Madhubani Institute Of Nursing And Paramedical Sciences,"Madhubani Institute Of Nursing And Paramedical Sciences, Madhubani, Madhubani, Distt.- Madhubani, Bihar, Pin Code- 847212",Milli Trust,Madhubani,Bihar,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
4,Manorma Devi Sikaria Anm Training School,"Manorma Devi Sikaria Anm Training School, Radha Nagar, Nacckched Tola, Motihari, Distt.- East Champaran, Bihar, Pin Code- 845401",Radha Krishna Sewa Sansathan,East Champaran,Bihar,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
5,Mata Gujri Memorial Gnm Nursing School,"Mata Gujri Memorial Gnm Nursing School, P.O.- Kishanganj, Kishanganj, Distt.- Kishanganj, Bihar, Pin Code- 855107",Mata Gujri Memorial Medical College And Lions Seva Kendra Hospital Trust,Kishanganj,Bihar,Private,GNM,100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
5,Mata Gujri Memorial Gnm Nursing School,"Mata Gujri Memorial Gnm Nursing School, P.O.- Kishanganj, Kishanganj, Distt.- Kishanganj, Bihar, Pin Code- 855107",Mata Gujri Memorial Medical College And Lions Seva Kendra Hospital Trust,Kishanganj,Bihar,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
5,Mata Gujri Memorial Gnm Nursing School,"Mata Gujri Memorial Gnm Nursing School, P.O.- Kishanganj, Kishanganj, Distt.- Kishanganj, Bihar, Pin Code- 855107",Mata Gujri Memorial Medical College And Lions Seva Kendra Hospital Trust,Kishanganj,Bihar,Private,M. Sc (N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
5,Mata Gujri Memorial Gnm Nursing School,"Mata Gujri Memorial Gnm Nursing School, P.O.- Kishanganj, Kishanganj, Distt.- Kishanganj, Bihar, Pin Code- 855107",Mata Gujri Memorial Medical College And Lions Seva Kendra Hospital Trust,Kishanganj,Bihar,Private,P B B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
6,Mother Teresa Nurisng School,"Mother Teresa Nurisng School, Araura, Pakri, Ara, Ara, Distt.- Bhojpur, Bihar, Pin Code- 802206",Indraswana Rajinandan Seva Sansthan,Bhojpur,Bihar,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
7,Narayan Nursing College,"Narayan Nursing College, Post Office- Jamuhar, P.S.- Dehri, Vill.- Jamuhar, Tehsil- Sasaram, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821305",Deo Mangal Memorial Trust,Rohtas(Sasaram),Bihar,Private,GNM,100 (Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
7,Narayan Nursing College,"Narayan Nursing College, Post Office- Jamuhar, P.S.- Dehri, Vill.- Jamuhar, Tehsil- Sasaram, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821305",Deo Mangal Memorial Trust,Rohtas(Sasaram),Bihar,Private,B.Sc(N),100 (Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
7,Narayan Nursing College,"Narayan Nursing College, Post Office- Jamuhar, P.S.- Dehri, Vill.- Jamuhar, Tehsil- Sasaram, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821305",Deo Mangal Memorial Trust,Rohtas(Sasaram),Bihar,Private,M. Sc (N),"30 (Thirty) Med-Nsg-10, Paed-5, Chn-5, Obg-5, Psy-5",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
7,Narayan Nursing College,"Narayan Nursing College, Post Office- Jamuhar, P.S.- Dehri, Vill.- Jamuhar, Tehsil- Sasaram, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821305",Deo Mangal Memorial Trust,Rohtas(Sasaram),Bihar,Private,P B B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
8,Om Sai Shiv Nursing College,"Om Sai Shiv Nursing College, Chhoti Aghu, Post Mohan Aghu, Begusarai, Distt.- Begusarai, Bihar, Pin Code- 851129",Om Sai Shiva Ji Educational Trust,Begusarai,Bihar,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
9,Patliputra Institute Of Nursing Training,"Patliputra Institute Of Nursing Training, Plot No.16, 24, Defence Colony, Bailey Road, Near Danapur Army Cantt, Patna , Distt.- Patna, Bihar, Pin Code- 801503",National Co-Operation Council,Patna,Bihar,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
10,Prashant Nursing Training School And College,"Prashant Nursing Training School And College , Lenin Chowk,Kalambagh Road Muzaffarpur ,Bihar, Muzaffarpur , Distt.- Muzaffarpur, Bihar, Pin Code- 842001",Prashant Memorial Charitable Hospital,Muzaffarpur,Bihar,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
11,R B Memorial School Of Nursing,"R B Memorial School Of Nursing, R S Tank, Laheriasarai, Darbhanga, Distt.- Darbhanga, Bihar, Pin Code- 846001",R B Memorial Charitable Trust,Darbhanga,Bihar,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
11,R B Memorial School Of Nursing,"R B Memorial School Of Nursing, R S Tank, Laheriasarai, Darbhanga, Distt.- Darbhanga, Bihar, Pin Code- 846001",R B Memorial Charitable Trust,Darbhanga,Bihar,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
12,Ramakanti Anm Nursing Training School,"Ramakanti Anm Nursing Training School, Vill: Shahbazpur, P.O : Nepa Fathepur, Tikari, Distt.- Gaya, Bihar, Pin Code- 824236",Maa Jethani Yashodhara Seva Sansthan,Gaya,Bihar,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
13,Rup Bala Memorial Anm Training Center,"Rup Bala Memorial Anm Training Center, Nageswar Nagar, Ward No 13, Mehsuale East, Pupri Road, , Distt.- Sitamarhi, Bihar, Pin Code- 843302",Swastik Kalyan Kendra,Sitamarhi,Bihar,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
14,S.K.M Nursing School,"S.K.M Nursing School, Indra Nagar,Bairiya ,Wazirganj, Gaya, Gaya, Distt.- Gaya, Bihar, Pin Code- 805131",Lord Buddha Multipurpose Trust,Gaya,Bihar,Private,ANM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
15,Satyendram Nursing Institute Of Anm,"Satyendram Nursing Institute Of Anm , At-Beladih,Po-Madhodih,Ps-Harpur,Munger,Bihar, Munger, Distt.- Munger, Bihar, Pin Code- 813221",Shiwani Welfare Trust,Munger,Bihar,Private,ANM,45 (Forty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
16,School Of Nursing,"School Of Nursing, Duncan Hospital, Raxaul, Distt.- East Champaran, Bihar, Pin Code- 845305",Regions Beyond Medical Union Society,East Champaran,Bihar,Private,GNM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
17,Shri Sai College Of Nursing And Paramedical,"Shri Sai College Of Nursing And Paramedical, Bindauli, East Of Beldarichak, P.S- Gaurichak,P.O- Masadhi,Patna, Patna, Distt.- Patna, Bihar, Pin Code- 803201",Usha Educational And Social Welfare Trust,Patna,Bihar,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
18,Shyam Lal Chandra Shekhar Nursing School,"Shyam Lal Chandra Shekhar Nursing School, Nh- 31, Parmanandpur, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851205",Madhuri Sewa Nyas,Khagaria,Bihar,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
1,Shyam Lal Chandra Shekhar Nursing School,"Shyam Lal Chandra Shekhar Nursing School, Nh- 31, Parmanandpur, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851205",Madhuri Sewa Nyas,Khagaria,Bihar,Private,GNM,55 (Fifty-Five),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
1,Shyam Lal Chandra Shekhar Nursing School,"Shyam Lal Chandra Shekhar Nursing School, Nh- 31, Parmanandpur, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851205",Madhuri Sewa Nyas,Khagaria,Bihar,Private,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
1,Shyam Lal Chandra Shekhar Nursing School,"Shyam Lal Chandra Shekhar Nursing School, Nh- 31, Parmanandpur, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851205",Madhuri Sewa Nyas,Khagaria,Bihar,Private,M. Sc (N),"25 (Twenty Five) 25 (Twenty Five) Med Surg-5,Chn-5,Obg/Mch-5,Paed-5,Psy-5",2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
1,Shyam Lal Chandra Shekhar Nursing School,"Shyam Lal Chandra Shekhar Nursing School, Nh- 31, Parmanandpur, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851205",Madhuri Sewa Nyas,Khagaria,Bihar,Private,P B B.Sc(N),30 (Thirty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
2,Tripolia School Of Nursing,"Tripolia School Of Nursing, Tripolia Social Service Hospital, P.O- Gulzarbagh, P.S- Alamganj, Patna , Distt.- Patna, Bihar, Pin Code- 800007",Tripolia Social Service Society,Patna,Bihar,Private,ANM,20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
2,Tripolia School Of Nursing,"Tripolia School Of Nursing, Tripolia Social Service Hospital, P.O- Gulzarbagh, P.S- Alamganj, Patna , Distt.- Patna, Bihar, Pin Code- 800007",Tripolia Social Service Society,Patna,Bihar,Private,GNM,20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:31.555090
