sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
3,Central India College Of Nursing,"Central India College Of Nursing, G.E. Road, Dewada Chowk, Kopedih Road, Vill.- Dewada, Tehsil- Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Dr. Ramlakhan Gupta Foundation Society,Rajnandgaon,Chhattisgarh,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
4,Chhattisgarh Nursing College,"Chhattisgarh Nursing College, Risali , Dhanora Road, Post Office-Hanoda , Bhilai, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Durg Education And Charitable Society,Durg,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
5,Christ College Of Nursing,"Christ College Of Nursing, Jeypore Road, Adawal, Naktisemra Station Road, Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 494001",Nirmal Vice Province,Baster,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
6,Christian Hospital School Of Nursing,"Christian Hospital School Of Nursing, Mungeli, Mungeli, Distt.- Mungeli, Chhattisgarh, Pin Code- 495334",Eastern Regional Board Of Health Services Society,Mungeli,Chhattisgarh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
7,College Of Nursing Apollo Hospitals,"College Of Nursing Apollo Hospitals, Apollo Hospitals Campus, Seepat Road , Vill.- Lingiyadih, Tehsil- Belha, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495006",Apollo Hospitals Educational Trust,Bilaspur,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
7,College Of Nursing Apollo Hospitals,"College Of Nursing Apollo Hospitals, Apollo Hospitals Campus, Seepat Road , Vill.- Lingiyadih, Tehsil- Belha, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495006",Apollo Hospitals Educational Trust,Bilaspur,Chhattisgarh,Private,M. Sc (N),"CHN-06, MED SUR-05, PSY-05",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
8,College Of Nursing Modern Medical Institute,"College Of Nursing Modern Medical Institute, Dhamtari Road, Lalpur, Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Modern Medical Institute,Raipur,Chhattisgarh,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
8,College Of Nursing Modern Medical Institute,"College Of Nursing Modern Medical Institute, Dhamtari Road, Lalpur, Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Modern Medical Institute,Raipur,Chhattisgarh,Private,M. Sc (N),"20 (Twenty) OBG-05, Med-Surg- 10, CHN-05",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
9,College Of Nursing,"College Of Nursing, Dhamtari Christian Hospital, Dhamtari, Distt.- Dhamtari, Chhattisgarh, Pin Code- 493773",The Mennonite Medical Board,Dhamtari,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
9,College Of Nursing,"College Of Nursing, Dhamtari Christian Hospital, Dhamtari, Distt.- Dhamtari, Chhattisgarh, Pin Code- 493773",The Mennonite Medical Board,Dhamtari,Chhattisgarh,Private,GNM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
9,College Of Nursing,"College Of Nursing, Dhamtari Christian Hospital, Dhamtari, Distt.- Dhamtari, Chhattisgarh, Pin Code- 493773",The Mennonite Medical Board,Dhamtari,Chhattisgarh,Private,M. Sc (N),20 (Twenty) Med-Surg-5 Psy-5 Paed-5 Chn-5,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
9,College Of Nursing,"College Of Nursing, Dhamtari Christian Hospital, Dhamtari, Distt.- Dhamtari, Chhattisgarh, Pin Code- 493773",The Mennonite Medical Board,Dhamtari,Chhattisgarh,Private,P B B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
10,Columbia College Of Nursing,"Columbia College Of Nursing, Near Vidhan Sabha, Vill.- Tekari, Tehsil- Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 493111",Janpragati Education Society,Raipur,Chhattisgarh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
10,Columbia College Of Nursing,"Columbia College Of Nursing, Near Vidhan Sabha, Vill.- Tekari, Tehsil- Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 493111",Janpragati Education Society,Raipur,Chhattisgarh,Private,M. Sc (N),"06 (Six) Med- Surg.- 03, Obg- 01, Chn-01, Pead.- 01",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
11,Confluence College Of Nursing,"Confluence College Of Nursing,, Parri Road, Near I.P.S. Public School, Rajnandgaon , Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Friend Shikshan Samiti,Rajnandgaon,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
12,Disha Institute Of Medical Sciences,"Disha Institute Of Medical Sciences, Satya Vihar, Vidhan Sabha-Chandkhuri Marg, Vill.- Pacheda, Tehsil- Arang, Distt.- Raipur, Chhattisgarh, Pin Code- 492101",Disha Education Society,Raipur,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
13,Dr. Rajendra Prasad College Of Nursing,"Dr. Rajendra Prasad College Of Nursing, Dhanora Road, Near Railway Crossing,Risali, Bhilai Nagar, Bhilai, Distt.- Durg, Chhattisgarh, Pin Code- 490006",Dr Rajendra Prasad Swarnakar Shikshan Samiti,Durg,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
14,Fellowship School Of Nursing,"Fellowship School Of Nursing, Plot No. 1857/10, Bhaleshsar Road Ward No.-29, Near To Gas Godown, Mahasamund, Distt.- Mahasamund, Chhattisgarh, Pin Code- 493445",Fellowship Educational And Charitable Organization,Mahasamund,Chhattisgarh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
15,Florence College Of Nursing,"Florence College Of Nursing, Raipur Road, Village-Limtara, Post-Sambalpur, Vill.- Limtara, Tehsil- Dhamtari, Distt.- Dhamtari, Chhattisgarh, Pin Code- 493773",Sanjeevan Foundation,Dhamtari,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
16,G N M Training Centre,"G N M Training Centre, Karli, Post- Karli, Dantewada, Distt.- Dantewada, Chhattisgarh, Pin Code- 494441",Government Of Chhattisgarh,Dantewada,Chhattisgarh,Government,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
17,Gautam College Of Nursing,"Gautam College Of Nursing, Near Atal Chowk, Chikhlakasa, Dalli Rajhara, Distt.- Durg, Chhattisgarh, Pin Code- 491228",Asha Shri Sai Prakritik Chikitsha Seva Samiti,Durg,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
18,Gayatri College Of Nursing,"Gayatri College Of Nursing, Bailadila Road, Kumharraas,, Dantewada, Distt.- Dantewada, Chhattisgarh, Pin Code- 494449",Gayatri Educational Institute Of Technology,Dantewada,Chhattisgarh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
1,Gayatri College Of Nursing,"Gayatri College Of Nursing, Bailadila Road, Kumharraas,, Dantewada, Distt.- Dantewada, Chhattisgarh, Pin Code- 494449",Gayatri Educational Institute Of Technology,Dantewada,Chhattisgarh,Private,B.Sc(N),50 (FIFTY),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
2,Gayatri Institute Of Nursing,"Gayatri Institute Of Nursing, Shiv Mandir Ward No. 03, New Bridge, Panarapara, Dongaghat, Raipur Road, Jagdalpur, Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 494001",Gayatri Educational Institute Of Technology,Baster,Chhattisgarh,Private,GNM,30 (Thirty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
2,Gayatri Institute Of Nursing,"Gayatri Institute Of Nursing, Shiv Mandir Ward No. 03, New Bridge, Panarapara, Dongaghat, Raipur Road, Jagdalpur, Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 494001",Gayatri Educational Institute Of Technology,Baster,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
3,Government College Of Nursing,"Government College Of Nursing, Behind Bharat Ratna Lt. Shri Atal Bihari Vajpayee Memorial College Premises, Pendri, Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Government Of Chhattisgarh,Rajnandgaon,Chhattisgarh,Government,B.Sc(N),50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
3,Government College Of Nursing,"Government College Of Nursing, Behind Bharat Ratna Lt. Shri Atal Bihari Vajpayee Memorial College Premises, Pendri, Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Government Of Chhattisgarh,Rajnandgaon,Chhattisgarh,Government,M. Sc (N),17 (Seventeen) Med Surg-05 Paed-03 Chn-03 Obg-03 Psy-03,2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
4,Government College Of Nursing,"Government College Of Nursing, Behind Pt. J L N M Medical College Campus, Near Redcross Blood Bank , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Govt. Of Chhattisgarh,Raipur,Chhattisgarh,Government,B.Sc(N),50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
4,Government College Of Nursing,"Government College Of Nursing, Behind Pt. J L N M Medical College Campus, Near Redcross Blood Bank , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Govt. Of Chhattisgarh,Raipur,Chhattisgarh,Government,M. Sc (N),30 (Thirty) Med-Surg-5 Psy-5 Paed-5 Obg-10 Chn-5,2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
4,Government College Of Nursing,"Government College Of Nursing, Behind Pt. J L N M Medical College Campus, Near Redcross Blood Bank , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Govt. Of Chhattisgarh,Raipur,Chhattisgarh,Government,P B B.Sc(N),20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
4,Government College Of Nursing,"Government College Of Nursing, Behind Pt. J L N M Medical College Campus, Near Redcross Blood Bank , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492001",Govt. Of Chhattisgarh,Raipur,Chhattisgarh,Government,Post Basic Diploma in Psychiatric nsg.,10 (Ten),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
5,Government College Of Nursing,"Government College Of Nursing, Jila Pariyojna Livelihood College, 1St Floor, Namnakala, Ambikapur , Distt.- Surguja, Chhattisgarh, Pin Code- 497001",Chhattisgarh State Government,Surguja,Chhattisgarh,Government,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
5,Government College Of Nursing,"Government College Of Nursing, Jila Pariyojna Livelihood College, 1St Floor, Namnakala, Ambikapur , Distt.- Surguja, Chhattisgarh, Pin Code- 497001",Chhattisgarh State Government,Surguja,Chhattisgarh,Government,M. Sc (N),25 (Twenty Five) Med Surg-10 Paed-02 Obg-05 Chn-03 Psy-05,2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
6,Government College Of Nursing,"Government College Of Nursing, Late Shri Lakhiram Agrawal Memorial Government Medical College Campus, T.V Tower Road, Benderchua, Raigarh , Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Chhattisgarh State Government,Raigarh,Chhattisgarh,Government,M. Sc (N),"25 (Twenty Five) Med Surg-5, Chn-5, Obg-5, Psy-5, Paed-5",2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
6,Government College Of Nursing,"Government College Of Nursing, Late Shri Lakhiram Agrawal Memorial Government Medical College Campus, T.V Tower Road, Benderchua, Raigarh , Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Chhattisgarh State Government,Raigarh,Chhattisgarh,Government,B.Sc(N),60 (Sixty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:19.524554
