inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Telangana|Warangal Urban|JAYA SCHOOL OF NURSING,Jaya School Of Nursing,"Jaya School Of Nursing, 7-1-394 Padmakshi Colony, Vill.- Hanamkonda, Tehsil- Hanamkonda, Distt.- Warangal Urban, Telangana, Pin Code- 506001",Jaya Medical And Education Society,Warangal Urban,Telangana,Private,GNM | B.Sc(N) | M. Sc (N),60 (Sixty) | 50 (Fifty) | 20 Paed-5 Obg-10 Msn-5,130,506001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Nalgonda|JYOTHI SCHOOL OF NURSING,Jyothi School Of Nursing,"Jyothi School Of Nursing, C/O Jyothi Hospital,Near Anjaneyaswami Temple, Vill.- Miryalaguda, Tehsil- Miryalaguda, Distt.- Nalgonda, Telangana, Pin Code- 508207",Miryalaguda Peoples Health And Educational Society,Nalgonda,Telangana,Private,GNM,30 (Thirty),30,508207,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Hyderabad|K I M S COLLEGE OF NURSING,K I M S College Of Nursing,"K I M S College Of Nursing, Krishna Institute Of Medical Sciences College Of Nursing, # 1-8-31/1, Minister Road, Vill.- Secunderabad, Tehsil- Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 50",Krishna Institute Of Medical Sciences,Hyderabad,Telangana,Private,B.Sc(N) | GNM,100 (Hundred) | 60 (Sixty),160,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Hyderabad|KALANJALI COLLEGE OF NURSING,Kalanjali College Of Nursing,"Kalanjali College Of Nursing, 16-10-1/Tr/B/1, Saleemnagar Colony, Malakpet, Vill.- Malakpet, Tehsil- Saidabad, Distt.- Hyderabad, Telangana, Pin Code- 500036",Kalanjali Society,Hyderabad,Telangana,Private,B.Sc(N),40 (Forty),40,500036,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Ranga Reddy|KAMINENI COLLEGE OF NURSING,Kamineni College Of Nursing,"Kamineni College Of Nursing,, Kamineni Hospital Campus, L.B.Nagar, , Hyderabad, Distt.- Ranga Reddy, Telangana, Pin Code- 500068",Kanineni Education Society,Ranga Reddy,Telangana,Private,M. Sc (N) | GNM | B.Sc(N),30 (Thirty) 6 In Each Speciality | 60 (Sixty) | 50 (Fifty),140,500068,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Nalgonda|KAMINENI INSTITUTE OF MEDICAL SCIENCES,Kamineni Institute Of Medical Sciences,"Kamineni Institute Of Medical Sciences, College Of Nursing, Sreepuram, Vill.- Narketpally, Tehsil- Narketpally, Distt.- Nalgonda, Telangana, Pin Code- 508254",Kamineni Education Society,Nalgonda,Telangana,Private,GNM | B.Sc(N) | M. Sc (N),"60 (Sixty) | 100 (One Hundred) | 25 Paed-5, Obg-5, Chn-5, Psy-5 Med-Surg-5",185,508254,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Ranga Reddy|KASTURI SCHOOL OF NURSING,Kasturi School Of Nursing,"Kasturi School Of Nursing, D.No:1-2-55, Kothapet,Saroornagar(P.O),, Hyderabad, Distt.- Ranga Reddy, Telangana, Pin Code- 500035",Kasturi Educational Society,Ranga Reddy,Telangana,Private,GNM,30 (Thirty),30,500035,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Khammam|KINNERA COLLEGE OF NURSING,Kinnera College Of Nursing,"Kinnera College Of Nursing, H No A1/2 ( Mallemadugu), Ballepalli Khammam Town, Vill.- Ballepally, Tehsil- Khammam, Distt.- Khammam, Telangana, Pin Code- 507002",Sri Kinnera Educational Society,Khammam,Telangana,Private,B.Sc(N),40 (Forty),40,507002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Medchal|KUMUDINIDEVI COLLEGE OF NURSING KUMUDINIDEVI SCHOOL OF NURSING,Kumudinidevi College Of Nursing Kumudinidevi School Of Nursing,"Kumudinidevi College Of Nursing Kumudinidevi School Of Nursing, Opp.Metro Pillar No A777, Kukatpally, Hyderabad, Hyderabad, Distt.- Medchal, Telangana, Pin Code- 500072",Chaitanya Memorial Education Society,Medchal,Telangana,Private,GNM | B.Sc(N),40 (Forty) | 40 (Forty),80,500072,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Sangareddy|M N R SCHOOL OF NURSING,M N R School Of Nursing,"M N R School Of Nursing, Mnr Medical College Campus, Mnr Nagar, Fasalwadi, , Sangareddy , Distt.- Sangareddy, Telangana, Pin Code- 502294",M N R Educational Trust,Sangareddy,Telangana,Private,GNM | B.Sc(N) | M. Sc (N),40 (Forty) | 100 (One Hundred) | 16 (Sixteen) Med Surg-5 Chn-5 Obg-6,156,502294,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
