sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
13,Bhopal Nursing College,"Bhopal Nursing College, Bhopal Memorial Hospital And Research Centre, Raisen Bypass Road, Karond , Karoumdh, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462038",Bhopal Memorial Hospital Trust,Bhopal,Madhya Pradesh,Government,M. Sc (N),5 Obg-3 Med-Surg-2,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
14,Bombay Hospital College Of Nursing,"Bombay Hospital College Of Nursing, 6Th Floor, Bombay Hospital, Ring Road, Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452010",Bombay Hospital Trust,Indore,Madhya Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
14,Bombay Hospital College Of Nursing,"Bombay Hospital College Of Nursing, 6Th Floor, Bombay Hospital, Ring Road, Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452010",Bombay Hospital Trust,Indore,Madhya Pradesh,Private,M. Sc (N),10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
15,Career School Of Nursing,"Career School Of Nursing, Opposite Dushehara, Maidan Govindpura Bhel, Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462023",Career Society,Bhopal,Madhya Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
15,Career School Of Nursing,"Career School Of Nursing, Opposite Dushehara, Maidan Govindpura Bhel, Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462023",Career Society,Bhopal,Madhya Pradesh,Private,M. Sc (N),25 (Twenty Five) Med Surg-05 Paed-05 Psy-05 Obg-05 Chn-05,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
1,Career School Of Nursing,"Career School Of Nursing, Opposite Dushehara, Maidan Govindpura Bhel, Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462023",Career Society,Bhopal,Madhya Pradesh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
2,Central Institute Of Nursing Science,"Central Institute Of Nursing Science, Near Bhatera Chouki Railway Crossing, Bhatera Road, Balaghat, Distt.- Balaghat, Madhya Pradesh, Pin Code- 481001",Health Education And Diagnosti Science Technolgy,Balaghat,Madhya Pradesh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
3,Central Institute Of Nursing Science,"Central Institute Of Nursing Science, S-2, Kachnar City, Vijay Nagar, , Jabalpur, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Asudi Devi Siksha Samiti,Jabalpur,Madhya Pradesh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
4,Chirayu College Of Nursing,"Chirayu College Of Nursing, Chirayu Medical College And Hospital Campus, Bhopal- Indore Highway, Near Bairagarh, Bhopal , Bhopal , Distt.- Bhopal, Madhya Pradesh, Pin Code- 462030",Chirayu Charitable Foundation,Bhopal,Madhya Pradesh,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
4,Chirayu College Of Nursing,"Chirayu College Of Nursing, Chirayu Medical College And Hospital Campus, Bhopal- Indore Highway, Near Bairagarh, Bhopal , Bhopal , Distt.- Bhopal, Madhya Pradesh, Pin Code- 462030",Chirayu Charitable Foundation,Bhopal,Madhya Pradesh,Private,M. Sc (N),25 (Twenty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
4,Chirayu College Of Nursing,"Chirayu College Of Nursing, Chirayu Medical College And Hospital Campus, Bhopal- Indore Highway, Near Bairagarh, Bhopal , Bhopal , Distt.- Bhopal, Madhya Pradesh, Pin Code- 462030",Chirayu Charitable Foundation,Bhopal,Madhya Pradesh,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
4,Chirayu College Of Nursing,"Chirayu College Of Nursing, Chirayu Medical College And Hospital Campus, Bhopal- Indore Highway, Near Bairagarh, Bhopal , Bhopal , Distt.- Bhopal, Madhya Pradesh, Pin Code- 462030",Chirayu Charitable Foundation,Bhopal,Madhya Pradesh,Private,GNM,100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
5,Chirayu Institute Of Medical Science,"Chirayu Institute Of Medical Science, Main Road, Bichhua, , Distt.- Chhindwara, Madhya Pradesh, Pin Code- 480111",Chirayu Institute Of Medical Science,Chhindwara,Madhya Pradesh,Private,B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
6,Choithram College Of Nursing,"Choithram College Of Nursing , Manik Bagh Road , Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452014",Choithram Charitable Trust,Indore,Madhya Pradesh,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
