sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
20,Blue Wheel Institute Of Nursing Sciences,"Blue Wheel Institute Of Nursing Sciences, At/Po- Chandpur, Chandpur, Distt.- Nayagarh, Orissa, Pin Code- 752024",Blue Wheel National Health Care And Educational Trust,Nayagarh,Orissa,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
20,Blue Wheel Institute Of Nursing Sciences,"Blue Wheel Institute Of Nursing Sciences, At/Po- Chandpur, Chandpur, Distt.- Nayagarh, Orissa, Pin Code- 752024",Blue Wheel National Health Care And Educational Trust,Nayagarh,Orissa,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
21,Capital Academy Of Nursing,"Capital Academy Of Nursing, Plot No- 209, Kharavel Nagar, Unit-3, Prananath Marg, Bhubaneswar , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751001",Sri Jagannath Education And Charitable Trust,Khordha,Orissa,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
1,Capital Academy Of Nursing,"Capital Academy Of Nursing, Plot No- 209, Kharavel Nagar, Unit-3, Prananath Marg, Bhubaneswar , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751001",Sri Jagannath Education And Charitable Trust,Khordha,Orissa,Private,M. Sc (N),"20 (Twenty) Med-Surg-2, Obg-6, Psy-5, Paed-2, Chn-5",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
1,Capital Academy Of Nursing,"Capital Academy Of Nursing, Plot No- 209, Kharavel Nagar, Unit-3, Prananath Marg, Bhubaneswar , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751001",Sri Jagannath Education And Charitable Trust,Khordha,Orissa,Private,P B B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
2,Christian Hospital,"Christian Hospital, School Of Nursing, Christian Hospital, Berhampur, Ganjam, Odisha, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760001","School Of Nursing, Christian Hospital, Berhampur",Ganjam,Orissa,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
3,College Of Nursing,"College Of Nursing, At- Charigharia, Po- Daulatabad, Choudwar , Cuttack , Distt.- Cuttack, Orissa, Pin Code- 754026",Nayak Educational Trust,Cuttack,Orissa,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
3,College Of Nursing,"College Of Nursing, At- Charigharia, Po- Daulatabad, Choudwar , Cuttack , Distt.- Cuttack, Orissa, Pin Code- 754026",Nayak Educational Trust,Cuttack,Orissa,Private,M. Sc (N),25 (Twenty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
4,College Of Nursing,"College Of Nursing, Mkcg Medical College Campus, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760004",Govt. Of Odisha,Ganjam,Orissa,Government,Post Basic Diploma in Operation Room Nursing,10 (Ten),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
4,College Of Nursing,"College Of Nursing, Mkcg Medical College Campus, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760004",Govt. Of Odisha,Ganjam,Orissa,Government,Post Basic Diploma in Emergency &amp; Disaster Nursing,10 (Ten),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
4,College Of Nursing,"College Of Nursing, Mkcg Medical College Campus, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760004",Govt. Of Odisha,Ganjam,Orissa,Government,Post Basic Diploma in Oncology Nursing,10 (Ten),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
4,College Of Nursing,"College Of Nursing, Mkcg Medical College Campus, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760004",Govt. Of Odisha,Ganjam,Orissa,Government,Post Basic Diploma in Neonatal nursing,10 (Ten),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
