inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Jharkhand|Ranchi|HILL VIEW COLLEGE OF NURSING,Hill View College Of Nursing,"Hill View College Of Nursing, Hill View Road Behind Hill View Hospital And Research Center, Bariatu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Hill View Medical Education Society,Ranchi,Jharkhand,Private,B.Sc(N) | GNM,40 (Forty) | 40 (Forty),80,834009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Koderma|HOLY FAMILY SCHOOL OF NURSING,Holy Family School Of Nursing,"Holy Family School Of Nursing, C/O Holy Family Hospital P.O.-Koderma , Koderma, Distt.- Koderma, Jharkhand, Pin Code- 825410",The Koderma Holy Family Hospital,Koderma,Jharkhand,Private,ANM,20 (Twenty),20,825410,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Khunti|IMPERIAL COLLEGE OF NURSING,Imperial College Of Nursing,"Imperial College Of Nursing, At-Jamuwadag, Khunti, Distt.- Khunti, Jharkhand, Pin Code- 835210",Nirmala Devi Educational Trust,Khunti,Jharkhand,Private,B.Sc(N),60 (Sixty),60,835210,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Ranchi|INSTITUTE OF MEDICAL SCIENCES AND HEALTH,Institute Of Medical Sciences And Health,"Institute Of Medical Sciences And Health, Gutwa Toli, Hurhuri, Ratu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835222",Mata Tetri Devi Memorial Education Trust,Ranchi,Jharkhand,Private,B.Sc(N),40 (Forty),40,835222,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Dhanbad|J P COLLEGE OF NURSING,J P College Of Nursing,"J P College Of Nursing, Bye Pass Baliapur Road, Kolakushma, Manjhladih,Saraidhela, Dhanbad, Distt.- Dhanbad, Jharkhand, Pin Code- 828109",J P Nursing Foundation,Dhanbad,Jharkhand,Private,GNM,50 (Fifty),50,828109,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Ranchi|JAINENDRA NURSING COLLEGE,Jainendra Nursing College,"Jainendra Nursing College, Nh-33,At- Ukrid,Po-Ukrid,Ps-Ormanjhi,Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 829119",Janjatiya Prashikshan Sansthan,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,829119,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Ranchi|JASLOK NURSING COLLEGE,Jaslok Nursing College,"Jaslok Nursing College, Simliya, Ring Road , Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Jaslok Hospital And Trauma Centre,Ranchi,Jharkhand,Private,GNM | B.Sc(N),40 (Forty) | 40 (Forty),80,834009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Ranchi|JASNAND NURSING COLLEGE,Jasnand Nursing College,"Jasnand Nursing College, Bero Ranchi Jharkhand, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835202",Jagat Gyan Sarowar Santhan,Ranchi,Jharkhand,Private,GNM,60 (Sixty),60,835202,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|East Singhbhum|JEEVAN JYOTI SCHOOL OF NURSING,Jeevan Jyoti School Of Nursing,"Jeevan Jyoti School Of Nursing, Near Tata Motors Hospital, Telco Town, Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831004",Society Of Jesus Mary Joseph Of Raipur,East Singhbhum,Jharkhand,Private,GNM,25 (Twenty Five),25,831004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
Jharkhand|Ranchi|JHARKHAND NURSING COLLEGE,Jharkhand Nursing College,"Jharkhand Nursing College , Mata Vaishno Devi Nagar Phase-I Pundag Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834004",Life Save Trust,Ranchi,Jharkhand,Private,ANM | GNM | B.Sc(N),30 (Thirty) | 50 (Fifty) | 50 (Fifty),130,834004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
