inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Haryana|Hissar|INDUS COLLEGE OF NURSING,Indus College Of Nursing,"Indus College Of Nursing, , Khanda Kheri, Distt.- Hissar, Haryana, Pin Code- 125038",Param Mitra Manav Nirman Sansthan,Hissar,Haryana,Private,P B B.Sc(N),20 (Twenty),20,125038,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Rewari|JRM NURSING COLLEGE,Jrm Nursing College,"Jrm Nursing College, Vill. Narayanpur, Kanuka Mod, Narnaul Road, Rewari, Rewari, Distt.- Rewari, Haryana, Pin Code- 123401",Technical Information Society,Rewari,Haryana,Private,GNM | B.Sc(N),30 (Thirty) | 30 (Thirty),60,123401,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Rohtak|K V M NURSING COLLEGE,K V M Nursing College,"K V M Nursing College, Behind New Bus Stand, Ladhot Road, Rohtak, Distt.- Rohtak, Haryana, Pin Code- 124001",Maina Education Society,Rohtak,Haryana,Private,P B B.Sc(N) | B.Sc(N) | ANM | GNM,30 (Thirty) | 40 (Forty) | 30 (Thirty) | 40 (Forty),140,124001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Panchkula|KAILASH INSTITUTE OF HEALTH AND MEDICAL SCIENCES,Kailash Institute Of Health And Medical Sciences,"Kailash Institute Of Health And Medical Sciences, P.O.-Chandimandir, Vill.- Chandikotla, Tehsil- Pinjore, Distt.- Panchkula, Haryana, Pin Code- 134107",Shiva Educational Society,Panchkula,Haryana,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),40 (Forty) | 50 (Fifty) | 50 (Fifty) | 40 (Forty),180,134107,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Jind|KHUSHI SCHOOL OF NURSING,Khushi School Of Nursing,"Khushi School Of Nursing, Near Khera Khemawati, Assandh Road , Saffidon, Distt.- Jind, Haryana, Pin Code- 126112",Shri Ganesh Educational Society,Jind,Haryana,Private,GNM | ANM,30 (Thirty) | 30 (Thirty),60,126112,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Hissar|KHUSHI SCHOOL OF NURSING,Khushi School Of Nursing,"Khushi School Of Nursing, V.P.O Kagsar, , Narnaund, Distt.- Hissar, Haryana, Pin Code- 125038",Shree Ganesh Educational Society,Hissar,Haryana,Private,GNM | ANM,30 (Thirty) | 30 (Thirty),60,125038,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Yamunanagar|LAL BAHADUR SHASTRI SCHOOL OF NURSING,Lal Bahadur Shastri School Of Nursing,"Lal Bahadur Shastri School Of Nursing, P.O.-Marwa Kalan, Sadhaura Road, Bilaspur, Distt.- Yamunanagar, Haryana, Pin Code- 135102",Kalyan Society,Yamunanagar,Haryana,Private,GNM | ANM,30 (Thirty) | 30 (Thirty),60,135102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Sirsa|LORD SHIVA SCHOOL OF NURSING,Lord Shiva School Of Nursing,"Lord Shiva School Of Nursing, Near Civil Hospital , Sirsa, Distt.- Sirsa, Haryana, Pin Code- 125055",Lord Shiva Charitable Trust,Sirsa,Haryana,Private,ANM | GNM,30 (Thirty) | 50 (Fifty),80,125055,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Kaithal|M D N SCHOOL OF NURSING,M D N School Of Nursing,"M D N School Of Nursing, Narwana Road, Kalayat, Distt.- Kaithal, Haryana, Pin Code- 136117",Jyoti Shiksha Samiti,Kaithal,Haryana,Private,GNM | ANM,40 (Forty) | 40 (Forty),80,136117,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Ambala|M M INSTITUTE OF NURSING AND RESEARCH,M M Institute Of Nursing And Research,"M M Institute Of Nursing And Research, Sadopur, Near Omaxe Flats Ambala-Chandigarh Highway, Ambala, Distt.- Ambala, Haryana, Pin Code- 134007","Maharishi Markandeshwar University, Sadopur-Ambala",Ambala,Haryana,Private,B.Sc(N) | GNM,100 (One Hundred) | 40 (Forty),140,134007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Sirsa|M P H W FEMALE TRAINING CENTRE,M P H W Female Training Centre,"M P H W Female Training Centre, Civil Hospital, Sirsa, Distt.- Sirsa, Haryana, Pin Code- 125055",Government Of Haryana,Sirsa,Haryana,Government,ANM,30 (Thirty),30,125055,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Hissar|MAHARAJA AGRASEN INSTITUTE OF MEDICAL RESEARCH EDUCATION,Maharaja Agrasen Institute Of Medical Research Education,"Maharaja Agrasen Institute Of Medical Research Education, Agroha, Hisar, Distt.- Hissar, Haryana, Pin Code- 125047",Maharaja Agrasen Medical Education And Scientific Research Society,Hissar,Haryana,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),100 (One Hundred) | 100 (One Hundred) | 25 (Twenty Five) | 30 (Thirty),255,125047,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
