sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
4,Faculty Of Nursing Motherhood University,"Faculty Of Nursing Motherhood University, Roorkee Dehradun Road, Bhagwanpur, Vill.- Karaundi, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Motherhood Institute Of Management And Technology Society,Haridwar,Uttaranchal,Private,B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
5,Government College Of Nursing,"Government College Of Nursing, Patiyaldhar, Gopeshwar, Chamoli, Distt.- Chamoli, Uttaranchal, Pin Code- 246424",Govt,Chamoli,Uttaranchal,Government,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
6,Government Nursing College Pauri,"Government Nursing College Pauri, Village-Dobh-Srikot, P.0.-Gadwagaad Pauri Garhwall 246001, Dobh-Srikot, Distt.- Pauri, Uttaranchal, Pin Code- 246001",Uttarakhand,Pauri,Uttaranchal,Government,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
7,Government Nursing College,"Government Nursing College, Bajpur, Government Nursing College, Rani Nagal (Fauzi Colony)Bajpur, Uttarakhand, Bajpur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 262401",Uttarakhand,Udham Singh Nagar,Uttaranchal,Government,B.Sc(N),33 (Thirty Three),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
8,Government Nursing College,"Government Nursing College, Champawat , Tarachaud, Punethi, Champawat, Champawat, Distt.- Champawat, Uttaranchal, Pin Code- 262523",Government Of Uttrakhand,Champawat,Uttaranchal,Government,B.Sc(N),33 (Thirty Three),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
9,Government Nursing College,"Government Nursing College, Haldwani, Rampur Road, Haldwani , Distt.- Nainital, Uttaranchal, Pin Code- 263139",N.A.,Nainital,Uttaranchal,Government,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
10,Government School Of Nursing,"Government School Of Nursing, Health Worker Female Training Centre, Gadarpur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263152",Na,Udham Singh Nagar,Uttaranchal,Government,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
11,Government School Of Nursing,"Government School Of Nursing, Ranipokhri, , Dehradun , Distt.- Dehra Dun, Uttaranchal, Pin Code- 248001",Govt. Of Uttarakhand,Dehra Dun,Uttaranchal,Government,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
12,Graphic Era College Of Nursing,"Graphic Era College Of Nursing, 566/6 Bell Road, Clement Town,Dehradun, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248002",Graphic Era Deemed To Be University,Dehra Dun,Uttaranchal,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
13,Graphic Era College Of Nursing,"Graphic Era College Of Nursing, Sat Tal Road, P O Bhowali, Vill.- Bhimtal, Tehsil- Bhimtal, Distt.- Nainital, Uttaranchal, Pin Code- 263156",Graphic Era Hill University,Nainital,Uttaranchal,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
14,Guru Nanak College Of Nursing,"Guru Nanak College Of Nursing, Jhajra Chakrata Road, Dehardun, Uttarkahnd, Deharadun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248007",Northern Institute Of Managment Studies,Dehra Dun,Uttaranchal,Private,GNM,16 (Sixteen),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
14,Guru Nanak College Of Nursing,"Guru Nanak College Of Nursing, Jhajra Chakrata Road, Dehardun, Uttarkahnd, Deharadun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248007",Northern Institute Of Managment Studies,Dehra Dun,Uttaranchal,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
15,Haridwar University,"Haridwar University, 5Th Km. Roorkee-Haridwar Canal Road, Bajuheri, Roorkee-247667, Distt.-Haridwar, Uttarakhand, Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247667",Satyam Educational Society,Haridwar,Uttaranchal,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
16,Health Worker (Mahila) Trg. Centre,"Health Worker (Mahila) Trg. Centre, Pauri Garhwal, Block- Khirsu, Khirsu, Distt.- Pauri, Uttaranchal, Pin Code- 246147",Director Medical Health Uttarakhand,Pauri,Uttaranchal,Government,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
17,Health Worker Training Centre,"Health Worker Training Centre , Badaloo, Pithoragarh, Distt.- Pithoragarh, Uttaranchal, Pin Code- 262501",Govt,Pithoragarh,Uttaranchal,Government,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
18,Herbertpur Christian Hospital,"Herbertpur Christian Hospital, Herbertpur Christian Hospital , Herbertpur, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248142",Herbertpur Christian Hospital Society,Dehra Dun,Uttaranchal,Private,B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
18,Herbertpur Christian Hospital,"Herbertpur Christian Hospital, Herbertpur Christian Hospital , Herbertpur, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248142",Herbertpur Christian Hospital Society,Dehra Dun,Uttaranchal,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
