inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Madhya Pradesh|Barwani|FEMALE HEALTH WORKER SCHOOL,Female Health Worker School,"Female Health Worker School, Barwani, District Hospital Barwani, , Distt.- Barwani, Madhya Pradesh, Pin Code- 451551",,Barwani,Madhya Pradesh,Government,ANM,40 (Forty),40,451551,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Bhopal|GANPATI NURSING COLLEGE,Ganpati Nursing College,"Ganpati Nursing College, Adampur Chhawani, Raisen Road, Near Hotel Reshumrao, Bhopal, Bhopal, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462022",Ganpati Shiksha Samiti,Bhopal,Madhya Pradesh,Private,B.Sc(N) | GNM,40 (Forty) | 40 (Forty),80,462022,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Ujjain|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, In Front Of Water Tank Sudama Nagar , Ujjain, Distt.- Ujjain, Madhya Pradesh, Pin Code- 456001",Government Of Madhya Pradesh,Ujjain,Madhya Pradesh,Government,B.Sc(N) | P B B.Sc(N),60 (Sixty) | 50 (Fifty),110,456001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Narsinghpur|GOVERNMENT GNM SCHOOL,Government Gnm School,"Government Gnm School , Near Chaudhari Shankarlal Dube, District Hospital, , Distt.- Narsinghpur, Madhya Pradesh, Pin Code-","Government School Of Nursing, Narsinghpur",Narsinghpur,Madhya Pradesh,Government,Upgraded College of Nursing,60 (Sixty),60,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Jabalpur|GOVERNMENT RANI DURGAWATI COLLEGE OF NURSING,Government Rani Durgawati College Of Nursing,"Government Rani Durgawati College Of Nursing, Elgin Hospital Campus Near High Court , Jabalpur, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482001",Govt. Of Madhya Pradesh,Jabalpur,Madhya Pradesh,Government,B.Sc(N) | P B B.Sc(N),60 (Sixty) | 25 (Twenty Five),85,482001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Vidisha|GOVT G N M T C,Govt G N M T C,"Govt G N M T C, Near Medical College Idgah Chauraha,, Vidisha, Distt.- Vidisha, Madhya Pradesh, Pin Code- 464001",Goverment,Vidisha,Madhya Pradesh,Government,Upgraded College of Nursing,50 (Fifty),50,464001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Rewa|GOVT NURSING COLLEGE,Govt Nursing College,"Govt Nursing College, Gmh Rewa, Haribhushan Nagar Medical College Campus, Rewa, Distt.- Rewa, Madhya Pradesh, Pin Code- 486001",Govt. Of Madhya Pradesh,Rewa,Madhya Pradesh,Government,P B B.Sc(N) | M. Sc (N) | B.Sc(N),"60 (Sixty) | 30 (Thirty) Pead.- 06, Med.-Surg.-06, Obg- 10, Chn-03, Psy. - 05 | 30 (Thirty)",120,486001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Dewas|GOVT. COLLAGE OF NURSING DEWAS,Govt. Collage Of Nursing Dewas,"Govt. Collage Of Nursing Dewas, Govt. Collage Of Nursing Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",M.P. Goverment,Dewas,Madhya Pradesh,Government,Upgraded College of Nursing,60 (Sixty),60,455001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Raisen|GOVT. COLLEGE OF NURSING RAISEN,Govt. College Of Nursing Raisen,"Govt. College Of Nursing Raisen, Near New Bus Stand, Bhopal Road Raisen, Raisen, Distt.- Raisen, Madhya Pradesh, Pin Code- 464551",Madhyapradesh,Raisen,Madhya Pradesh,Government,Upgraded College of Nursing,60 (Sixty),60,464551,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Anuppur|GOVT. COLLEGE OF NURSING,Govt. College Of Nursing,"Govt. College Of Nursing, Akash Tower Jaithari Road Near Tulsi College Anuppur, Anuppur, Distt.- Anuppur, Madhya Pradesh, Pin Code- 484224",Dhs Bhopal,Anuppur,Madhya Pradesh,Government,B.Sc(N),30 (Thirty),30,484224,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
