sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
12,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,M. Sc (N),20 (Twenty) Med Surg-04 Obg-04 Chn-04 Psy-04 Paed.-04,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
13,Gandhi College Of Allied Science,"Gandhi College Of Allied Science, Chota Sijulata B Kutung, Rajnagar, Distt.- Saraikela, Jharkhand, Pin Code- 831002",Gandhi Technical Education And Social Welfare Trust,Saraikela,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
14,Gandhi College Of Nursing,"Gandhi College Of Nursing, At- Asangi , P.O.Nit , Kharsawan, Adityapur, Distt.- Saraikela, Jharkhand, Pin Code- 832109",Techno Education And Social Welfare Trust,Saraikela,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
14,Gandhi College Of Nursing,"Gandhi College Of Nursing, At- Asangi , P.O.Nit , Kharsawan, Adityapur, Distt.- Saraikela, Jharkhand, Pin Code- 832109",Techno Education And Social Welfare Trust,Saraikela,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
15,Gandhi Institute Of Nursing,"Gandhi Institute Of Nursing, At-Asangi, P.O-N I T, Adiyapur, Distt.- Saraikela, Jharkhand, Pin Code- 832109",Techno Educational And Social Welfare Trust,Saraikela,Jharkhand,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
16,Girija Institute Of Nursing,"Girija Institute Of Nursing, Dohakatu, Chuttupalu, Ramgarh , Jharkhand - 835219, Ramgarh, Distt.- Ramgarh, Jharkhand, Pin Code- 835219",Girija Memorial Welfare Trust,Ramgarh,Jharkhand,Private,ANM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
16,Girija Institute Of Nursing,"Girija Institute Of Nursing, Dohakatu, Chuttupalu, Ramgarh , Jharkhand - 835219, Ramgarh, Distt.- Ramgarh, Jharkhand, Pin Code- 835219",Girija Memorial Welfare Trust,Ramgarh,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
16,Girija Institute Of Nursing,"Girija Institute Of Nursing, Dohakatu, Chuttupalu, Ramgarh , Jharkhand - 835219, Ramgarh, Distt.- Ramgarh, Jharkhand, Pin Code- 835219",Girija Memorial Welfare Trust,Ramgarh,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
17,Hill View College Of Nursing,"Hill View College Of Nursing, Hill View Road Behind Hill View Hospital And Research Center, Bariatu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Hill View Medical Education Society,Ranchi,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
1,Hill View College Of Nursing,"Hill View College Of Nursing, Hill View Road Behind Hill View Hospital And Research Center, Bariatu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Hill View Medical Education Society,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
