inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Uttaranchal|Nainital|GRAPHIC ERA COLLEGE OF NURSING,Graphic Era College Of Nursing,"Graphic Era College Of Nursing, Sat Tal Road, P O Bhowali, Vill.- Bhimtal, Tehsil- Bhimtal, Distt.- Nainital, Uttaranchal, Pin Code- 263156",Graphic Era Hill University,Nainital,Uttaranchal,Private,B.Sc(N),60 (Sixty),60,263156,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Dehra Dun|GURU NANAK COLLEGE OF NURSING,Guru Nanak College Of Nursing,"Guru Nanak College Of Nursing, Jhajra Chakrata Road, Dehardun, Uttarkahnd, Deharadun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248007",Northern Institute Of Managment Studies,Dehra Dun,Uttaranchal,Private,GNM | B.Sc(N),16 (Sixteen) | 50 (Fifty),66,248007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Haridwar|HARIDWAR UNIVERSITY,Haridwar University,"Haridwar University, 5Th Km. Roorkee-Haridwar Canal Road, Bajuheri, Roorkee-247667, Distt.-Haridwar, Uttarakhand, Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247667",Satyam Educational Society,Haridwar,Uttaranchal,Private,B.Sc(N),40 (Forty),40,247667,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Pauri|HEALTH WORKER (MAHILA) TRG. CENTRE,Health Worker (Mahila) Trg. Centre,"Health Worker (Mahila) Trg. Centre, Pauri Garhwal, Block- Khirsu, Khirsu, Distt.- Pauri, Uttaranchal, Pin Code- 246147",Director Medical Health Uttarakhand,Pauri,Uttaranchal,Government,ANM,20 (Twenty),20,246147,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Pithoragarh|HEALTH WORKER TRAINING CENTRE,Health Worker Training Centre,"Health Worker Training Centre , Badaloo, Pithoragarh, Distt.- Pithoragarh, Uttaranchal, Pin Code- 262501",Govt,Pithoragarh,Uttaranchal,Government,ANM,20 (Twenty),20,262501,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Dehra Dun|HERBERTPUR CHRISTIAN HOSPITAL,Herbertpur Christian Hospital,"Herbertpur Christian Hospital, Herbertpur Christian Hospital , Herbertpur, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248142",Herbertpur Christian Hospital Society,Dehra Dun,Uttaranchal,Private,B.Sc(N) | GNM,20 (Twenty) | 30 (Thirty),50,248142,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Dehra Dun|HIMALAYAN COLLEGE OF NURSING,Himalayan College Of Nursing,"Himalayan College Of Nursing,, Swami Ram Nagar, Jollygrant, Doiwala, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248016",Swami Rama Himalayan University,Dehra Dun,Uttaranchal,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | NURSE PRACTITIONER IN CRITICAL CARE(NPCC),255 (Two Hundred Fifty Five) | 25 (Twenty Five) 5 In Each Speciality | 45 (Forty Five) | 15 (Fifteen),340,248016,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Dehra Dun|HIMALAYIYA COLLEGE OF NURSING (HIMALAYIYA UNIVERSITY),Himalayiya College Of Nursing (Himalayiya University),"Himalayiya College Of Nursing (Himalayiya University), Fatehpur Tanda Jeevanwala (Majri Grant), , Distt.- Dehra Dun, Uttaranchal, Pin Code- 248140",Himalayiya Ayurvedic Yog Evam Prakartic Chikitsa Sansthan,Dehra Dun,Uttaranchal,Private,B.Sc(N),60 (Sixty),60,248140,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Udham Singh Nagar|JEEVAN REKHA COLLEGE OF NURSING,Jeevan Rekha College Of Nursing,"Jeevan Rekha College Of Nursing, Kachnal Gazi Manpur Road, Kashipur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 244713",Jeevan Rekha Educational Society,Udham Singh Nagar,Uttaranchal,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),20 (Twenty) | 20 (Twenty) | 40 (Forty) | 20 (Twenty),100,244713,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Dehra Dun|KINGSTON IMPERIAL INSTITUTE OF MEDICAL SCIENCES,Kingston Imperial Institute Of Medical Sciences,"Kingston Imperial Institute Of Medical Sciences, Kanswali Kothri, Dunga, Dehradun - 248007, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248007",Kingston Imperial Institute Of Medical Sciences,Dehra Dun,Uttaranchal,Private,GNM | B.Sc(N),30 (Thirty) | 60 (Sixty),90,248007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Pithoragarh|LATE SHRI KHARAK SINGH VALDIYA GOVERNMENT NURSING INSTITUTE,Late Shri Kharak Singh Valdiya Government Nursing Institute,"Late Shri Kharak Singh Valdiya Government Nursing Institute, Near Dev Singh Sports Field, Tildungari , Pithoragarh, Distt.- Pithoragarh, Uttaranchal, Pin Code- 262501",N.A.,Pithoragarh,Uttaranchal,Government,B.Sc(N),30 (Thirty),30,262501,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Almora|MAA AMBEY INSTITUTE OF NURSING & PARAMEDICAL SCIENCES,Maa Ambey Institute Of Nursing & Paramedical Sciences,"Maa Ambey Institute Of Nursing & Paramedical Sciences, Makedi, Pithoragarh Road, Almora, Distt.- Almora, Uttaranchal, Pin Code- 263601",Ahana Charitable Trust,Almora,Uttaranchal,Private,GNM | B.Sc(N),30 (Thirty) | 55 (Fifty Five),85,263601,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Nainital|MIET KUMAON COLLEGE OF NURSING,Miet Kumaon College Of Nursing,"Miet Kumaon College Of Nursing, Shiksha Nagar, Kaladhungi Road, Lamachaur, Haldwani, Distt.- Nainital, Uttaranchal, Pin Code- 263139",Devbhumi Foundatation Trust,Nainital,Uttaranchal,Private,GNM | B.Sc(N),50 (Fifty) | 60 (Sixty),110,263139,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Nainital|NAINCY COLLEGE OF NURSING,Naincy College Of Nursing,"Naincy College Of Nursing, P.O Jeolikote,, Naintal , Distt.- Nainital, Uttaranchal, Pin Code- 263127",Naincy Convent Educational And Social Welfare Society,Nainital,Uttaranchal,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,263127,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Dehra Dun|NARAYAN SWAMI COLLEGE OF NURSING,Narayan Swami College Of Nursing,"Narayan Swami College Of Nursing, Subhartipuram, Kotda Santaur, Aamwala Road, Premnanagar , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248007",Dr. Jagat Narayan Subharti Charitable Trust,Dehra Dun,Uttaranchal,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 60 (Sixty) | 20 (Twenty),130,248007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Nainital|PAL COLLEGEOF NURSING &AMP; MEDICAL SCIENCES,Pal Collegeof Nursing &Amp; Medical Sciences,"Pal Collegeof Nursing &Amp; Medical Sciences, Anandi Tower, Nainital Rd, , Katgodam, Distt.- Nainital, Uttaranchal, Pin Code- 263126",Brij Lal Hospital And Research Center,Nainital,Uttaranchal,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N) | NURSE PRACTITIONER IN CRITICAL CARE(NPCC),40 (Forty) | 50 (Fifty) | 50 (Fifty) | 13 (Thirteen) | 30 (Thirty) | 10 (Ten),193,263126,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Haridwar|QUADRA INSTITUTE OF NURSING,Quadra Institute Of Nursing,"Quadra Institute Of Nursing , Nh-58, Near Mont Fort School, Haridwar Road, Vill.- Belda, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247667",Chaudhary Harchand Singh Atma Ram Education Trust,Haridwar,Uttaranchal,Private,B.Sc(N) | P B B.Sc(N) | ANM | GNM,40 (Forty) | 20 (Twenty) | 25 (Twenty Five) | 25 (Twenty Five),110,247667,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Dehra Dun|SAI SCHOOL OF NURSING,Sai School Of Nursing,"Sai School Of Nursing, 26A, Rajpur Road, Nr Meedo Grand Hotel, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248001",Sai Vikas Samiti,Dehra Dun,Uttaranchal,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 60 (Sixty) | 40 (Forty),150,248001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Haridwar|SAINI NURSING SCHOOL,Saini Nursing School,"Saini Nursing School, Sherpur, Bhagwanpur, Vill.- Sherpur, Tehsil- Bhagwan Pur, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Saini Sikshan Prashikshan Samiti,Haridwar,Uttaranchal,Private,ANM | GNM,20 (Twenty) | 20 (Twenty),40,247661,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:29.504049
Uttaranchal|Udham Singh Nagar|SAMRAT PRITHVIRAJ CHAUHAN INSTITUTE OF NURSING PARAMEDICAL SCIENCES,Samrat Prithviraj Chauhan Institute Of Nursing Paramedical Sciences,"Samrat Prithviraj Chauhan Institute Of Nursing Paramedical Sciences, Khokhratal Dheemarkhera Dahriyal Road , Vill.- Dheemarkhera, Tehsil- Kashipur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Co",Samrat Prathvi Raj Chauhan Sewa Trust,Udham Singh Nagar,Uttaranchal,Private,GNM | M. Sc (N) | B.Sc(N) | P B B.Sc(N),"60 (Sixty) | 10 (Ten) :PEAD-05, PSY-05 | 60 (Sixty) | 30 (Thirty)",160,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:35.656880
Uttaranchal|Haridwar|SANJEEVANI HOSPITAL AND MEDICAL RESEARCH INSTITUTE,Sanjeevani Hospital And Medical Research Institute,"Sanjeevani Hospital And Medical Research Institute, Infornt Of Police Thana , Jhabrera, Jhabrera, Teh Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247665",Sanjeevani Shiksha Peeth,Haridwar,Uttaranchal,Private,GNM,20 (Twenty),20,247665,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:35.656880
Uttaranchal|Udham Singh Nagar|SAPKM COLLEGE OF NURSING,Sapkm College Of Nursing,"Sapkm College Of Nursing, Kishanpur , Haldwani By Pass Road , Kichha, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263148",Surajmal Laxmi Devi Sawarthia Educational Trust,Udham Singh Nagar,Uttaranchal,Private,GNM | B.Sc(N),30 (Thirty) | 40 (Forty),70,263148,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:35.656880
